Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Value,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Maryland,Maryland,3,18,Oct 28 - Nov 9,9.8,7.2,13,7.2 - 13.0,9.3-11.0,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Massachusetts,Massachusetts,3,18,Oct 28 - Nov 9,10.9,8.5,13.7,8.5 - 13.7,9.3-11.0,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Michigan,Michigan,3,18,Oct 28 - Nov 9,9.1,7.1,11.3,7.1 - 11.3,6.7-9.2,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Minnesota,Minnesota,3,18,Oct 28 - Nov 9,11.1,8.9,13.7,8.9 - 13.7,11.1-12.6,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Mississippi,Mississippi,3,18,Oct 28 - Nov 9,11.8,7.1,18,7.1 - 18.0,11.1-12.6,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Missouri,Missouri,3,18,Oct 28 - Nov 9,11.4,8.2,15.1,8.2 - 15.1,11.1-12.6,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Montana,Montana,3,18,Oct 28 - Nov 9,7.4,5,10.3,5.0 - 10.3,6.7-9.2,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Nebraska,Nebraska,3,18,Oct 28 - Nov 9,9.1,6.6,12.2,6.6 - 12.2,6.7-9.2,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Nevada,Nevada,3,18,Oct 28 - Nov 9,11.8,8.1,16.6,8.1 - 16.6,11.1-12.6,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New Hampshire,New Hampshire,3,18,Oct 28 - Nov 9,7.9,6.1,10.1,6.1 - 10.1,6.7-9.2,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New Jersey,New Jersey,3,18,Oct 28 - Nov 9,9.2,6.5,12.4,6.5 - 12.4,6.7-9.2,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New Mexico,New Mexico,3,18,Oct 28 - Nov 9,14.1,10.1,18.9,10.1 - 18.9,12.7-16.9,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New York,New York,3,18,Oct 28 - Nov 9,6.8,5.4,8.6,5.4 - 8.6,6.7-9.2,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,North Carolina,North Carolina,3,18,Oct 28 - Nov 9,10.4,6.9,15,6.9 - 15.0,9.3-11.0,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,North Dakota,North Dakota,3,18,Oct 28 - Nov 9,8.8,5.7,12.8,5.7 - 12.8,6.7-9.2,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Ohio,Ohio,3,18,Oct 28 - Nov 9,10,7.2,13.4,7.2 - 13.4,9.3-11.0,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Oklahoma,Oklahoma,3,18,Oct 28 - Nov 9,16.9,12.8,21.6,12.8 - 21.6,12.7-16.9,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Oregon,Oregon,3,18,Oct 28 - Nov 9,15.5,12.5,18.8,12.5 - 18.8,12.7-16.9,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,3,18,Oct 28 - Nov 9,9.9,7.5,12.7,7.5 - 12.7,9.3-11.0,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Rhode Island,Rhode Island,3,18,Oct 28 - Nov 9,10.2,6.4,15.2,6.4 - 15.2,9.3-11.0,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,South Carolina,South Carolina,3,18,Oct 28 - Nov 9,13.7,9.4,19,9.4 - 19.0,12.7-16.9,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,South Dakota,South Dakota,3,18,Oct 28 - Nov 9,9,6.2,12.5,6.2 - 12.5,6.7-9.2,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Tennessee,Tennessee,3,18,Oct 28 - Nov 9,9.9,7.5,12.7,7.5 - 12.7,9.3-11.0,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Texas,Texas,3,18,Oct 28 - Nov 9,13.7,11.2,16.6,11.2 - 16.6,12.7-16.9,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Utah,Utah,3,18,Oct 28 - Nov 9,15.4,12.5,18.6,12.5 - 18.6,12.7-16.9,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Vermont,Vermont,3,18,Oct 28 - Nov 9,16,10.7,22.7,10.7 - 22.7,12.7-16.9,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Virginia,Virginia,3,18,Oct 28 - Nov 9,10.9,8.4,13.9,8.4 - 13.9,9.3-11.0,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Washington,Washington,3,18,Oct 28 - Nov 9,12.6,10,15.5,10.0 - 15.5,11.1-12.6,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,West Virginia,West Virginia,3,18,Oct 28 - Nov 9,8.9,5.5,13.5,5.5 - 13.5,6.7-9.2,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Wisconsin,Wisconsin,3,18,Oct 28 - Nov 9,11,7.6,15.3,7.6 - 15.3,9.3-11.0,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Wyoming,Wyoming,3,18,Oct 28 - Nov 9,11.5,8.4,15.3,8.4 - 15.3,11.1-12.6,
