sex,orientation,pets,ethnicity,age,education,drugs,height,income,job,last_online,location,offspring,religion,smokes,body_type,sign,speaks,status,diet,drinks,essay0,essay1,essay2,essay3,essay4,essay5,essay6,essay7,essay8,essay9
m,straight,has dogs,hispanic / latin,46 and above,graduated from two-year college,never,67,-1,construction / craftsmanship,2012-06-19-20-26,"south san francisco, california",has kids,christianity,no,athletic,aquarius,english,single,mostly anything,socially,"outgoing and active, like outdoors. snow, beach and everything in
 between. looking for friends, maybe more if right.","entrepreneur, work keeps me very busy. family, friends and bbq's
 are fun. dining, dancing or quiet time is cool. love my
 dog....diego.","athletic...so sports. communication, social skills and patience.
 educated, world events and being dependable.",smile and friendly demeanor.,too many.,"family, friends, my dog, self respect, love and freedom.","life's relationships and being successful in many areas not just
 profession.","open to a good time and varies from large events to a quiet evening
 at home. depends on mood.",publicly i value my privacy.,"any reason, no harm in talking to anyone.......like being a social
 butterfly."
m,straight,has dogs and has cats,asian,26-30,graduated from college/university,never,70,20000,other,2012-06-23-18-06,"san francisco, california","doesn&rsquo;t have kids, but might want them",atheism but not too serious about it,no,skinny,virgo but it doesn&rsquo;t matter,"english (fluently), chinese (fluently), japanese (poorly), c++ (poorly)",single,strictly anything,not at all,"let's see... my name's andrew and i was born in hong kong and moved
 to san francisco when i was 3. currently living in the mission and
 have been ever since.<br />
 <br />
 i enjoy mellow, scenic <a class=""ilink"" href=
 ""/interests?i=motorcycle"">motorcycle</a> rides. when i'm all tired
 out from that i enjoy taking care of my <a class=""ilink"" href=
 ""/interests?i=aquarium"">aquarium</a>.","i work at a motorcycle rental shop here in san francisco servicing
 and cleaning bikes.","fixing stuff! i'm sort of a backyard mechanic and i'm good at a lot
 of other things but i know there are about a million other people
 who can do the exact same things better than me. it also turns out
 that i'm a natural masseuse.","""you ride a motorcycle?""<br />
 <br />
 ""no. i'm accident prone.""","fewd: i absolutely love <a class=""ilink"" href=
 ""/interests?i=pho"">pho</a>, <a class=""ilink"" href=
 ""/interests?i=italian+food"">italian food</a> and <a class=""ilink""
 href=""/interests?i=burritos"">burritos</a> although there are a ton
 of other things i like. and after eating balut, i'm not afraid to
 try anything.<br />
 <br />
 movies: all <a class=""ilink"" href=""/interests?i=star+wars"">star
 wars</a> movies except episode i, most of the <a class=""ilink""
 href=""/interests?i=star+trek"">star trek</a> movies, <a class=
 ""ilink"" href=""/interests?i=office+space"">office space</a>,
 <a class=""ilink"" href=""/interests?i=pulp+fiction"">pulp
 fiction</a>,<a class=""ilink"" href=
 ""/interests?i=super%0atroopers"">super troopers</a> a bunch more but
 the list goes on and on.<br />
 <br />
 music: i like most all music as long as it's tasteful. mostly it's
 stuff that was released before or shortly after i was born.<br />
 <br />
 books: not much of a book reader, although: twist of the wrist ii
 by keith code is my holy bible and ecology of the planted aquarium
 by diana walstad is my koran.<br />
 <br />
 shows: i don't watch tv but i'll find some time in my schedule for
 some ""top gear"" or ""jeopardy!"". that, and there's always time for
 ""my little pony"".","complex hydrocarbons, electricity, <a class=""ilink"" href=
 ""/interests?i=aquariums"">aquariums</a>(fresh and saltwater),
 starbucks, computer, phone.",how magnets work.,"riding my motorcycle while dodging: drunk people, muni, taxis and
 hipsters on their fixes.<br />
 <br />
 or i'll stay at home playing video games, watch movies and veg out
 in front of a fish tank if friends are busy or the weather is
 crappy.","i watch the new ""my little pony"" cartoon that's for little girls.
 yes, yes. i'm a ""brony"", and just because steven colbert is a brony
 like me, it doesn't mean you have to be one too.",you feel compelled to practice your right to the 1st amendment.
f,straight,has cats,white,26-30,graduated from college/university,never,69,-1,political / government,2012-06-29-23-24,"san francisco, california",doesn&rsquo;t have kids,agnosticism,no,thin,aquarius,"english, french",single,strictly anything,rarely,"i suppose i could tell you about the time i published a science
 fiction novel or lived in paris or volunteered in cameroon but
 those kind of once-in-a-lifetime experiences don't necessarily
 define us any more than the everyday and mundane - so perhaps i
 should tell you that i enjoy sitting at my computer trying to write
 impressive descriptions of myself - though that wouldn't
 necessarily be true either.","writing articles on north korea, working for a nonprofit, looking
 for a better job, taking care of my wild kitty, trying to get laid
 on the internet without looking like that's what i'm doing,
 thinking of starting a metal band",certain among the items previously mentioned,some strange article of clothing i've decided to wear,"eugene zamiatin, ken kesey, tim krabb, hollywood blockbusters
 about people who say and do whatever they want and then everyone
 loves them for their brash honesty, and one, anorexia nervosa,
 wolfsheim, schubert, thai yellow curry, chocolate cupcakes","i always have to roll my eyes at this question, when you consider
 what conditions human beings are able to survive in. but i am a
 pretty big fan of my computer, chocolate, music, boundaries,
 necessary solitude, and the ability to be myself","the world's problems, how we're all going to die soon and should do
 whatever we want until then, what i'm going to do with my yard,
 work, the male species, human behavior","working late, interneting, sleeping","i was raised catholic and had to go to confession as a child. this
 kind of reminds me of that.","you have the quick wit, logic, and occasional unintentional humor
 of a robot but are just a tad more understanding of human emotion"
m,straight,likes dogs and likes cats,black,36-40,graduated from masters program,never,69,-1,computer / hardware / software,2012-06-29-20-26,"san francisco, california","doesn&rsquo;t have kids, but wants them",christianity but not too serious about it,no,athletic,leo and it&rsquo;s fun to think about,"english (fluently), french (okay)",single,mostly anything,socially,"i was born and raised in southern africa (south africa and zimbabwe
 to be exact). i went to english boarding school at an early age all
 the way through end of high school. it was a great experience and
 many life long friendships stem from boarding school. apparently
 american boarding schools are for bad kids? the english system is
 quite different. the bad boys (that got caught, anyway) got
 expelled. ours were institutes to raise quality gentlemen and
 ladies. you will have to let me know how i turned out. so now comes
 the self-perception part: i am an easy-going, fun-loving with a big
 heart. i live life to the fullest yet maintaining a high level of
 responsibility and accountability in all aspects. i love
 international travel and typically take two or three trips
 annually. in 2011 i went to 4 different countries. that was much
 needed. i have a career that allows for a great work/life balance.
 that way i enjoy all the things outdoor activities that the bay
 area/northern california have to offer. i volunteer for a great
 organization which has been enriching for the kids within the
 program and i have grown from the experience as well. i run a
 twelve-year old wine group which is going through changes and
 revival. i was a college track athlete, so exercise is high on the
 list. i work out in the gym some days; run from my place and touch
 hoppers' hands. on the return trip i do intervals, and those really
 kick butt! other times it's trail running or simply hiking
 somewhere around mt tam. lastly, i can never quite decide if i
 should maintain facial hair permanently. it's on my face as much as
 it is off. currently off. anything else you may want to know, by
 all means ask me.","first and foremost, i am having fun! i believe in working smart and
 playing hard. to support that habit, i work in it/social media and
 love my career. they tell me i'm good at what i do :-) i have a
 great work/life balance, therefore work does not interfere much
 with personal time.","anything i apply myself. just to add a few more:<br />
 - cooking.<br />
 - dancing.<br />
 - directions....i'm actually brilliant!<br />
 - entertaining.",my warm inviting smile.,"- the power of one; blink; guns, germs and steel.<br />
 - invictus; gladiator; coming to america<br />
 - dexter; sparticus; californication; episodes; shameless<br />
 - all kinds of music. ray lamontagne; kem; madeleine peyroux;
 matisyahu; amadou &amp; mariam; radiohead; plain white t's; dj
 khaled; the roots; prince; usher. that's this week. next week will
 be different.","- family &amp; friends<br />
 - passport<br />
 - gym<br />
 - music<br />
 - internet<br />
 - food and wine","- my next vacation.<br />
 - the economy.<br />
 - world peace.<br />
 - the arts.<br />
 - dancing.<br />
 - gathering friends just because....and making a fantastic
 time.<br />
 - how to improve someone's life.<br />
 - how to improve my life.","routine is boring. one friday is never the same as the next.
 sometimes it's dinner out on the town with friends. the next i stay
 in after a long week of work. sometimes drive to tahoe or another
 part of the state or fly out of town to visit friends.","that would not make it private anymore. these matters are private
 for a reason :-)",if you think we are a match.
m,straight,has dogs,white,31-35,Law Degree,never,67,-1,law / legal services,2012-06-29-13-28,"san francisco, california","doesn&rsquo;t have kids, but wants them",judaism and laughing about it,no,fit,gemini but it doesn&rsquo;t matter,"english, italian (poorly), spanish (poorly)",single,mostly anything,socially,"my life is in the midst of an incredible transformation. in a
 nutshell: over the past two months i finished a year long stint at
 my dream job, started a permanent position at my other dream job,
 and moved to san francisco to live in my dream apartment. i can't
 believe this is my life. the only thing left to do find is my dream
 girl.<br />
 <br />
 i'm accidentally funny. i can be clever and witty, but i think most
 of my friends think i'm fun to wind up and let go. i'm passionate
 about music and arts, as well as culture, politics, life.
 especially music. if music moves you, if you can talk for hours
 about it, if every song on your playlist has a story, a memory, and
 an emotion, then we'll be off to a good start. i'm a nerd. i'm an
 information sponge. i'm a sports fan. i'll scream with blood lust
 watching a good hockey fight, and then be just as comfortable and
 happy at an art exhibit or a musical. i love good design, good
 engineering, and anything that takes thought, care, creativity and
 skill. i'm still working on my cooking (my baking is pretty good -
 especially my kugel!), but i can eat like it's a sport. i laugh at
 the ridiculous, non sequiturs, absurd, slapstick, toilet humor,
 highbrow. i'm a romantic.","i help silicon valley continue to be the most innovative,
 entrepreneurial, and dynamic environment on earth. i do this by
 reading a lot, not writing quite as much as i read, having nerdy
 conversations with other nerds about cool tech and business issues,
 and giving advice. they pay me to do this. pinch me.","quoting movies and song lyrics at random, explaining complicated
 things, building computers, making people think, asking interesting
 questions, shopping, heating food (though i'm doing well with
 cooking and i'm pretty good with a grill), looking busy, being
 startlingly insightful, stating the obvious, and a few other things
 here and there.","my friends tell me i'm very animated with a highly expressive face,
 but i'm not sure that's the first thing people notice. eyelashes,
 maybe?","a) if i mentioned my favorite books it might give the impression
 that i actually read for pleasure. that's not true. i do read for
 pleasure, but as egon said in ghostbusters, ""print is dead."" if
 it's worth reading, it is probably online. by the time it makes the
 printed page it's old news. there are some exceptions in the
 nonfiction section. i love a good story, but if i'm going to invest
 time in a book i want information, not imagination. once in a while
 i'll treat myself to a novel, and there are some classics that are
 on my reading list. first up: dante's divine comedy. i do like book
 lovers! i can be converted!<br />
 <br />
 b) i've seen many movies in the last year, and i'm willing to bet
 that the best ones were not made during that year. i love movies,
 and i guarantee they'll make it into our conversation
 somehow.<br />
 <br />
 c) passion pit, phoenix, ra ra riot, animal collective, fleet
 foxes, a.a. bondy, ben sollee, bon iver, band of horses, kings of
 leon, the national, vampire weekend, sufjan stevens, matt pond pa,
 jose gonzalez, u2, the cure, tool, a perfect circle, alice in
 chains, failure, hum, counting crows, sting/police, phil
 collins/genesis, peter gabriel, travis, coldplay, massive attack,
 catherine wheel, the sundays, hooverphonic, ivy, maroon 5, smashing
 pumpkins, frou frou, interpol, the killers, postal service, death
 cab, pearl jam, almost anything 80s, soul, funk, classic rock,
 roots, the list will never end.<br />
 <br />
 currently in heavy rotation on pandora in addition to the above:
 cut copy, empire of the sun, bloc party, editors, m83, starfucker,
 phantogram, miike snow, stars, crystal castles, whitest boy alive,
 silversun pickups, tegan and sara, the smiths, coconut records,
 grand national, and many others.<br />
 <br />
 d) since i like almost everything, here's a list of things i don't
 like: bell peppers, brussel sprouts, lima beans, cranberries on my
 turkey, asparagus, raw onions, grapefruit, maybe a few others. this
 list is getting smaller as i learn to love things i used to
 dislike. eventually i'll eat everything. i love sushi and shellfish
 but i developed an allergy to them, which is hugely disappointing.
 i've been eating vegetarian sushi instead, so don't worry, i'll go
 eat sushi with you. almost anything else is fair game. i eat large
 quantities of food.","strong friendships<br />
 beautiful views<br />
 stimulating conversation<br />
 fantastic music<br />
 consistent laughter<br />
 adjectives","when i get home i should... oh, that reminds me, i need to... hey,
 how are you doing?... wow, that smells wonderful... i wonder if i'm
 the only one who constantly thinks about the fact that the atoms
 that comprise me and everything around me were once inside of a
 star; that we're made of stardust and are as old as the universe
 itself... what i really ought to do is... i need to check that link
 later... i should really get some work done... cool, that's neat...
 wait, so what happens to it afterwards...<br />
 <br />
 i'm sorry, were you saying something?","there is no such thing as a typical friday night. this makes me
 sound like a badass thrillseeker, so i think i'll just leave
 it.<br />
 <br />
 i'm batman.<br />
 <br />
 saturday, however. oh saturdays! god i love saturdays.","i don't advertise my secrets, but i'm a pretty open person and
 answer most questions. christ, i've answered so many okcupid
 questions already, you can probably find the answers there.
 actually, on second thought, those answers are so old that my
 answers would probably be different now. go ahead and ask me
 something.<br />
 <br />
 oh, here's something: i'm suspicious when a profile doesn't have
 any pictures of the person smiling with teeth showing. and it's not
 just because it makes me think they might have bad teeth. see, now
 you're intrigued.","you have intelligence, strength, and confidence. you're silly. you
 value education. you have a prodigious vocabulary and enjoy using
 it. you have well-formed opinions but you still keep an open mind.
 you enjoy discussions. you can make me laugh. you can teach me
 something and make me think. you have a positive outlook and
 charisma. you're affectionate, thoughtful, considerate, and sweet.
 note: this is not a list of requirements.<br />
 <br />
 http://www.youtube.com/watch?v=r1tcaxvsclw<br />
 <br />
 you should strongly consider editing your profile before messaging
 me if your profile says any of the following or variations
 thereof:<br />
 i love to laugh<br />
 i like to have fun<br />
 i love spending time with my friends<br />
 i want to explore all the city has to offer"
m,straight,likes dogs and likes cats,white,26-30,graduated from masters program,never,68,-1,banking / financial / real estate,2012-06-25-17-47,"san rafael, california",doesn&rsquo;t have kids,other but not too serious about it,no,fit,leo but it doesn&rsquo;t matter,"english, french (fluently)",single,anything,socially,"rain is a necessary evil but i am always trying to appreciate new
 things. i run. a lot. i'm very outgoing and like to be around
 similar people, but not if they exhaust me. i can laugh about
 almost anything and excel at awkward situations. i find people who
 are able to demonstrate confidence without being arrogant or aloof
 incredibly attractive. shoes and raw denim are frequent
 indulgences. little hiccups often bug me a lot more than the bigger
 bumps but i'm working on that.","working as a research associate at a small investment management
 firm in san francisco. i research countries and industries to
 figure out where we should invest.","<a class=""ilink"" href=""/interests?i=eating"">eating</a>. <a class=
 ""ilink"" href=""/interests?i=laughing"">laughing</a>. sarcasm. being
 disciplined when necessary but never taking myself too seriously.
 <a class=""ilink"" href=""/interests?i=running"">running</a>. learning.
 alchemy. sleeping through earthquakes. crossing the line, but
 always respectfully.",my complete and utter lack of volume control.,"i want to hate the protagonist at least once, and maybe for the
 whole film. i dislike being needlessly frightened. the best ones
 have at least one memorable quotation. some of my all-time
 favorites include ferris bueller's day off, prefontaine, major
 league, and the blues brothers.<br />
 <br />
 i enjoy books that take me to new places or make things that i am
 familiar with seem novel (no pun intended). i want to read more in
 french because i'm getting rusty. a man in full. the right stuff.
 the carpetbaggers.<br />
 <br />
 my musical tastes vary greatly but i am without fail drawn to
 anything that makes me bounce or want to run, even though i never
 run with music. i tend to fixate on a small group of songs for a
 period of time but am trying to change my tendency to overplay
 them. daft punk. martin solveig. michael jackson. sublime. the
 white panda.<br />
 <br />
 i gravitate towards simple food items. i am willing to try anything
 once per an agreement that i've had with my father since i was 5
 and has resulted in my affinity for anchovies, mollusks and
 memphis-style bbq (no vinegar-based sauce, please). i'm still
 searching for a pancake that's big enough from a restaurant where i
 won't have to ask for more syrup.","- my running shoes. i need to know that i can take off whenever i
 want.<br />
 - sunny days. they act as a battery for me.<br />
 - something upon which to rest my feet. tables, ottomans, chairs
 and medium-sized dogs (who are willing, of course) are all
 acceptable.<br />
 - people who will help me pick myself up when i stumble. you can't
 do everything on your own.<br />
 - my health. something that i often take for granted. it's easy to
 wonder how something can break when you're healthy and just as easy
 to wonder how it ever worked when it's broken.<br />
 - carbohydrates. pasta and bread. especially fresh bread right out
 of the oven that steams when you break it open.","what makes people tick? where i want to go. where i've been. how
 can i get faster? why are there still no flying cars? what i'm
 going to eat next. can i justify buying another pair of shoes
 and/or jeans? i'm going to learn how to do that. how far over the
 line did i just step? how far i'm going to climb on my run today.",trying a new beer with old friends,"i got a c+ in basic drawing in undergrad. it still haunts me (not
 because of the grade but because of the class).","(pick any or all)<br />
 - you can laugh and make others do the same<br />
 - you enjoy physical activity<br />
 - you are curious<br />
 - you are having fun on a daily basis<br />
 - you often experience the sensation of being unable to stop
 smiling"
m,straight,likes dogs and dislikes cats,asian,18-25,graduated from college/university,sometimes,69,-1,banking / financial / real estate,2012-06-29-21-44,"san francisco, california",doesn&rsquo;t have kids,agnosticism but not too serious about it,no,athletic,capricorn and it&rsquo;s fun to think about,"english (fluently), vietnamese (fluently)",single,anything,socially,"grew up in l.a. attended college in the bay and stuck up here for
 work. social and outgoing. my interests range from enjoying a good
 laugh with friends at a house kickback to a buck wild night out in
 the city or could be just a simple walk on the beach watching the
 ocean waves and the beautiful scenery. absolutely love meeting new
 cool people from all walk of life as life itself is ultra short and
 we'd best be maximizing our experiences while still breathing!","still adjusting to the post-college working life that has been
 bombarded me with all these newly found responsibilities lol. i
 work in corporate finance so mostly busy during the week. though, i
 still find times to have fun occasionally on the weekend. i am
 always on the look out for something new and exciting to do. so, if
 you are up to some interesting things in life then please do share!","making people laugh with my silly humor lol. i can listen very well
 and give you the most logical and best advices ever too! last but
 not least, i was born to be great at having a good time and making
 ""it"" happens! haha",swagger &amp; sense of humor &amp; fashionable style,"movies: the pursuit of happiness, american history x, american
 gangster.<br />
 <br />
 tv shows: entourage, how i met your mother, family guy, south park,
 mtv<br />
 <br />
 music: r&amp;b, hip-hop, edm<br />
 <br />
 food: all kinds!!! very open minded to try new food. it is one of
 the very few things i love in life.","music, smartphone, my comfy bed, basketball, friends, and family.","how to become successful and get ahead in life. i want to be able
 to give my children what i didn't have growing up. and yea, also
 did put some thoughts into when will i meet that one classy lady
 who could help taking me off this site ;)","either watching a movie, hitting up the gym, or staying in to chill
 and cook my own dinner, or out and about in the city with friends.","i like women with black painted nail! i think that's very sexy and
 really turn me on!","you are nice and looking for a new friend. i'm a very energetic and
 upbeat person who is fun to be around with! :)"
f,straight,likes dogs and has cats,white,26-30,Still in college,sometimes,66,40000,entertainment / media,2012-03-13-18-16,"san francisco, california","doesn&rsquo;t have kids, and doesn&rsquo;t want any",other,no,average,capricorn and it&rsquo;s fun to think about,english (fluently),single,mostly anything,often,"i'm a performer, a professional geek, a playwright and a painter.
 i'm learning to play the banjo (5-string) and i have an affinity
 for digital audio and recording arts. i'm also a huge geek, and i
 regularly play wow, swtor and minecraft. oh, and i dance french
 can-can and work at a renaissance faire. yes, i'm one of *those*
 people....","i'm completing my b.a. in creative writing at sfsu (and thereafter
 moving to a masters program in the same subject) and i'm working
 full-time as an hr generalist at <a class=""ilink"" href=
 ""/interests?i=curse.com"">curse.com</a>, the number one resource for
 core online gamers (shameless self-promotion, a-thankyouverymuch.)","writing, learning, dancing and reading shakespeare. i'm also
 devastatingly witty.",my 3rd eye.,"the riverside edition of the complete works of william shakespeare,
 jane eyre, a song of ice and fire series, the lord of the rings,
 david starkey's the 6 wives of henry viii, the great gatsby,
 ender's game, monty python's flying circus, monty python and the
 holy grail, star wars (the classic trilogy), star trek, anything by
 tarantino ... i could go on and on and on.... i'm an anglophile, so
 bear that in mind.","adventures, a writing utensil, a good camera (hell, even a bad
 one), a sense of humor, good food and socks.","why i think about what i'm thinking about. i'm so deep i'm
 meta.<br />
 <br />
 ;______;","hanging out with fellow can-can dancers performing at local
 burlesque shows or geeking out and raiding.","i named a body part of mine ""rancor""... +10 to you if you name it.","you enjoy humor in its many myriad forms. humor is the thing that
 attracts me most and i have it in spades.<br />
 <br />
 if you're into film: watching it and creating it.<br />
 <br />
 if you like video games. w00t.<br />
 <br />
 if you like history, politics, plays, poems, good books, dancing,
 singing, really good music... life in general.<br />
 <br />
 if you enjoy going on camping trips and unplanned adventures...
 especially to the ocean.... mmm, ocean....<br />
 <br />
 i think you should just message me. i'm pretty freakin' awesome,
 and i'll bet you are, too."
m,straight,likes dogs and likes cats,white,31-35,graduated from college/university,never,74,-1,executive / management,2012-06-29-18-53,"san francisco, california","doesn&rsquo;t have kids, but might want them",agnosticism and laughing about it,no,average,taurus but it doesn&rsquo;t matter,english,single,mostly anything,socially,"i moved from the midwest to the city early last year. since then i
 haven't looked back. i really enjoy walking around and exploring my
 neighborhood. i love discovering new restaurants, shops, and bars
 in the hidden corners of this city. i think san francisco is
 nothing less than amazing, and i feel very fortunate to be able to
 live here.<br />
 <br />
 a bit about me:<br />
 <br />
 first<br />
 i am always fun! rather it's playing yahtzee in the park or out on
 the town. sometimes i will take a 3 day trip because i wake up on
 friday and the mood strikes me.<br />
 <br />
 second<br />
 i am presentable, ambitious, kind, passionate, chivalrous,
 romantic, optimistic and have manners.<br />
 <br />
 third<br />
 i have a fantastic sense of humor. yes, i can be a bit silly
 sometimes. my favorite holidays are april fool's day and
 halloween.<br />
 <br />
 fourth<br />
 animals adore me<br />
 <br />
 and the list goes on....",living a san francisco lifestyle.,problem solving,my booming personality,"this is better left for a conversation, so many things to cover","1. san francisco<br />
 2. iphone<br />
 3. motorcycle<br />
 4. cheese<br />
 5. the ability to pursue my passions<br />
 6. affection",everything and nothing,my friday's are never typical if i can help it,"i rode around san francisco on a motorcycle on easter in a bunny
 costume. it brought a lot of smiles to a lot of faces!",you want to meet someone fun
m,straight,likes cats,white,46 and above,graduated from college/university,never,73,150000,science / tech / engineering,2012-06-29-22-31,"palo alto, california",has a kid,agnosticism but not too serious about it,no,athletic,gemini but it doesn&rsquo;t matter,"english (fluently), french (poorly)",single,mostly vegetarian,not at all,"me: slightly over 6'1"" and about 180 lbs, blue eyes, brown/gray
 hair. member of a <a class=""ilink"" href=
 ""/interests?i=running"">running</a> club (veteran of 16 <a class=
 ""ilink"" href=""/interests?i=marathons"">marathons</a>...last was
 boston 2011) and a <a class=""ilink"" href=
 ""/interests?i=volleyball"">volleyball</a> team. other activities
 include <a class=""ilink"" href=""/interests?i=skiing"">skiing</a>,
 <a class=""ilink"" href=""/interests?i=scuba+diving"">scuba diving</a>,
 <a class=""ilink"" href=""/interests?i=cycling"">cycling</a>, <a class=
 ""ilink"" href=""/interests?i=motorcycle"">motorcycle</a> riding, and a
 bit of gardening. gainfully employed by a silicon valley geek
 company (isn't everyone around here?) but regard work as a means to
 an end, not an all-consuming obsession. committed to my causes
 (mostly environmental), moved by my music (mostly classical and
 oldies), and intense about a few other things... much more to tell,
 but stopping here in the interest of brevity.<br />
 <br />
 i am inquisitive, physically active, and persistent","doing technical work to pay the bills while at the same time
 working to improve myself both physically and mentally. less
 business travel these days (maybe 4 to 6 trips per year); a little
 burned-out on it even though i do like seeing new and interesting
 places.","for work, a very specialized area of internet technology.<br />
 <br />
 in life, a variety of physically-active pursuits.",you tell me... :-),"most recent books: the last lecture (sad, insightful, and
 entertaining; definitely worth the two hours i spend on it on a
 recent flight) and born to run (great story, great advice).<br />
 <br />
 relatively recent and memorable movies: supersize me, the <a class=
 ""ilink"" href=""/interests?i=lord+of%0athe+rings"">lord of the
 rings</a> trilogy (good for what they are), many others...<br />
 <br />
 saw spamalot on stage in london a couple of years ago and laughed
 pretty much from the opening to closing curtains; don't think i've
 ever laughed that much ever before in my life...<br />
 <br />
 music: <a class=""ilink"" href=""/interests?i=classical"">classical</a>
 favorites include beethoven's 6th, 7th, 9th symphonies; bach's 2nd,
 3rd, and 5th ""brandenburg"" concertos; copeland's ""appalacian
 spring""; mussorgsky's ""pictures at an exhibition""; there are many
 more. more ""modern"" stuff is mostly <a class=""ilink"" href=
 ""/interests?i=rock+oldies"">rock oldies</a> like the beatles, simon
 &amp; garfunkel, u2, etc.<br />
 <br />
 food: spicy!","1. my daughter and my family; we are close even though no siblings
 or parents live in the bay area<br />
 <br />
 2. health<br />
 <br />
 3. mind (a terrible thing to waste!)<br />
 <br />
 4. imagination<br />
 <br />
 5. activities: running, skiing, volleyball, etc.<br />
 <br />
 6. rides (motorcycles :-)",whether to ever run another marathon,"depends on the week... i see my daughter every other weekend plus
 one or two evenings per week. if it is ""my"" friday evening with
 her, then we are probably having fun at a park when
 weather/daylight allows or else inside playing games, watching
 kiddie movies, having dinner, or something like that. on the
 fridays when she's not with me, possibly relaxing, possibly playing
 volleyball at the wilcox open gym, or finding something else to do
 with friends; maybe even going out on an okc date :-)","when i was younger, i was so shy that my first girlfriend had to
 ask me out.","if i look appealing and if you're looking for the same things that
 i am... i don't use or abuse any addictive substances, try to keep
 a reasonably healthy diet, and stay very physically active, with
 running being my primary exercise activity.<br />
 <br />
 i find intellectual curiosity, physical fitness, and staying active
 to be attractive traits. as is the case for all guys,
 cuteness/physical appearance is obviously an issue for any romantic
 relationship..."
f,straight,likes dogs and dislikes cats,asian,18-25,Still in college,never,64,20000,student,2012-06-28-18-17,"san francisco, california","doesn&rsquo;t have kids, but might want them",buddhism and laughing about it,no,average,leo and it&rsquo;s fun to think about,"english (okay), chinese (fluently)",single,anything,rarely,"even though i need help with english essays and political science.
 kkkkk<br />
 i am not considering having a relationship this following one
 year.<br />
 friends (bf candidates) only ;)<br />
 wondering why i dun reply? because i believe if i dunno what to say
 better not saying anything..","trying to really finish the last semester in city college with all
 aces. then transfer,kkkkkkkk.","teasing you, hitting you(but don't hit me back, or we are done.)
 pretend that i am nice.ahahah","i look friendly and nice, and have a big smile.<br />
 but then im totally different from what i look like. i am an indeed
 evil.<br />
 almost every girl can look good in make-up.so when without make-up,
 i am not too bad.heehee","i don't care, everything in usa is new to me. since i like new
 things , i would love to try different varieties of cultural
 products. love simple mild food. sometimes spicy food or exciting
 food is okay too. i don't cook and don't wash dishes. eat a lot.",being like a boss.,"how can i improve my english to the level of speaking as fluently
 as native speakers. how can i both make a lot of money and don't
 pay tuition. maybe joining army is good.ahaha",sleep early and ready to go out on saturday.,"i am selfish, messy, funny, pretty, lazy, poor, narcissism,and i
 call myself flat. the only time i will be nice and soft like a cat
 is when i meet someone i really like.","you are good and lenient enough to tolerate an evil. you dun expect
 a meetup."
m,straight,likes dogs and likes cats,asian,26-30,graduated from college/university,never,69,50000,military,2012-06-15-15-33,"san mateo, california","doesn&rsquo;t have kids, but wants them",christianity but not too serious about it,trying to quit,athletic,cancer and it&rsquo;s fun to think about,"english (fluently), chinese (okay)",single,strictly anything,socially,"interesting ;d<br />
 <br />
 hobbies, since there's no section for it:<br />
 riding my sportbike, fishing, hunting, shooting, cooking, eating,
 playing sports, online shopping and probably some others i can't
 think of now. wanna play? =d",about to volunteer for a tour in afghanistan and get my mba after.,"being practical, survival skills, shopping online, understanding
 people and..math? =p",friendlier than i look =),"i love all food but would choose chinese as my favorite with its
 many varieties.<br />
 <br />
 i enjoy chill and alternative hip hop the most but occasionally
 listen to oldies, jazz, and classical.<br />
 <br />
 like lots of movies but stephen chow and hayao miyazaki come to
 mind first.<br />
 <br />
 don't watch tv nor do i read many books. i usually just research on
 the internet if i want to learn something.","drinking water, pocket knife, meat..that's about it. i'm very
 simple =)","planning. usually either planning or doing. daydreaming is not
 practical =p",hanging out with friends or working out and sleeping.,i'm looking for a sweet girl online =p,you're interested! =d
